PLT_CN,PDSI_ATA_bin
1.56668E+13,2
1.56668E+13,2
1.56668E+13,1
1.56668E+13,1
1.57219E+13,1
1.57219E+13,1
1.57219E+13,1
1.57219E+13,2
1.57219E+13,1
1.57219E+13,1
1.57219E+13,2
1.57219E+13,1
1.57219E+13,1
1.57219E+13,2
1.57219E+13,2
1.57219E+13,2
1.57219E+13,2
1.57219E+13,2
1.57219E+13,1
1.57219E+13,1
1.5722E+13,1
1.5722E+13,2
1.5722E+13,2
1.5722E+13,1
1.5722E+13,1
1.5722E+13,1
1.5722E+13,2
1.5722E+13,2
1.5722E+13,2
1.5722E+13,1
1.5722E+13,1
1.5722E+13,2
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,2
1.57221E+13,2
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57221E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,2
1.57222E+13,2
1.57222E+13,1
1.57222E+13,2
1.57222E+13,2
1.57222E+13,2
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,2
1.57222E+13,1
1.57222E+13,1
1.57222E+13,2
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57222E+13,1
1.57223E+13,1
1.57223E+13,1
1.57223E+13,2
1.57223E+13,2
1.57223E+13,2
1.57223E+13,2
1.57223E+13,2
1.57223E+13,2
1.57223E+13,2
1.57224E+13,2
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,1
1.57224E+13,2
1.57224E+13,2
1.57224E+13,2
1.57225E+13,2
1.57225E+13,2
1.57225E+13,2
1.57225E+13,2
1.57225E+13,1
1.57225E+13,2
1.57225E+13,1
1.57225E+13,1
1.57225E+13,2
1.57225E+13,1
1.57225E+13,1
1.57225E+13,2
1.57225E+13,2
1.57225E+13,1
1.57225E+13,1
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57226E+13,2
1.57227E+13,2
1.57227E+13,2
1.57227E+13,2
1.57228E+13,2
1.57228E+13,2
1.57228E+13,2
1.57228E+13,2
1.57228E+13,2
1.57228E+13,2
1.57229E+13,2
1.57229E+13,2
1.57229E+13,3
1.5723E+13,2
1.5723E+13,2
1.5723E+13,2
1.5723E+13,2
1.5723E+13,2
1.5723E+13,2
1.57231E+13,2
1.57231E+13,2
1.57231E+13,1
1.5739E+13,2
1.57392E+13,2
1.57394E+13,2
1.57394E+13,2
1.57395E+13,1
1.57396E+13,1
1.57396E+13,1
1.57396E+13,1
1.57396E+13,5
1.57398E+13,2
1.57399E+13,2
1.57399E+13,1
1.57399E+13,1
1.574E+13,1
1.57401E+13,1
1.57401E+13,2
1.57403E+13,1
1.57403E+13,1
1.57406E+13,1
1.57406E+13,2
1.57491E+13,2
1.57491E+13,3
1.57491E+13,2
1.57491E+13,3
1.57492E+13,3
1.57492E+13,3
1.57492E+13,2
1.57492E+13,2
1.57492E+13,3
1.57492E+13,2
1.57492E+13,3
1.57492E+13,3
1.57492E+13,2
1.57492E+13,2
1.57492E+13,2
1.57492E+13,2
1.57492E+13,2
1.57492E+13,2
1.57492E+13,2
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57493E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57494E+13,3
1.57495E+13,3
1.57495E+13,3
1.57495E+13,3
1.57496E+13,3
1.57496E+13,3
1.57496E+13,3
1.57496E+13,3
1.57496E+13,3
1.57497E+13,3
1.57497E+13,2
1.57497E+13,2
1.57497E+13,3
1.57497E+13,2
1.57497E+13,3
1.57497E+13,3
1.57497E+13,2
1.57497E+13,2
1.57498E+13,3
1.57498E+13,3
1.57498E+13,3
1.57498E+13,3
1.57498E+13,2
1.57498E+13,2
1.57498E+13,3
1.57498E+13,3
1.57498E+13,2
1.57498E+13,3
1.57498E+13,3
1.57498E+13,3
1.57498E+13,2
1.57498E+13,3
1.57498E+13,2
1.57498E+13,2
1.57499E+13,2
1.57499E+13,2
1.57499E+13,3
1.57499E+13,3
1.57499E+13,3
1.57499E+13,2
1.57499E+13,3
1.57499E+13,2
1.57499E+13,2
1.57499E+13,2
1.57499E+13,2
1.57499E+13,2
1.57499E+13,2
1.57499E+13,3
1.57499E+13,3
1.575E+13,3
1.575E+13,3
1.575E+13,3
1.575E+13,3
1.575E+13,2
1.575E+13,2
1.575E+13,2
1.575E+13,2
1.575E+13,3
1.575E+13,2
1.575E+13,3
1.575E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,3
1.57501E+13,3
1.57501E+13,3
1.57501E+13,3
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57501E+13,2
1.57502E+13,2
1.57502E+13,2
1.57502E+13,2
1.57502E+13,2
1.57502E+13,2
1.57502E+13,3
1.57502E+13,3
1.57502E+13,2
1.57502E+13,2
1.57502E+13,3
1.57502E+13,3
1.57502E+13,3
1.57503E+13,3
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,2
1.57503E+13,3
1.57503E+13,3
1.57503E+13,2
1.57503E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,3
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57504E+13,2
1.57505E+13,2
1.57505E+13,2
1.57505E+13,2
1.57505E+13,2
1.57505E+13,2
1.57505E+13,3
1.57505E+13,2
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,2
1.58024E+13,2
1.58024E+13,1
1.58024E+13,2
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,2
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
1.58024E+13,1
