PLT_CN,H_D_5cm,H_H_5cm,H_D_10cm,H_H_10cm,TPA,TPH,density_group,mean_DBH_cm,BA_m2_ha,MAT_stand_age,MAP_stand_age,CWD_stand_age,Carbon_Mg_ha,INVYR,WD.FDis,WD.CWM,Shade.tolerance.FDis,Shade.tolerance.CWM,Drought.tolerance.FDis,Drought.tolerance.CWM,SLA.FDis,SLA.CWM,Leaf.longevity.FDis,Leaf.longevity.CWM,LDMC.FDis,LDMC.CWM,Nmass.FDis,Nmass.CWM,Pmass.FDis,Pmass.CWM,LMA.FDis,LMA.CWM,Plant_height.FDis,Plant_height.CWM,PC1.FDis,PC1.CWM,PC2.FDis,PC2.CWM,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CONDID,pltID,PREV_PLT_CN.x,REMPER,CONDID,LON,LAT,STDAGE,NA_L1NAME,NA_L2NAME,NA_L3NAME,pH_mean,bdod_mean,clay_mean,nitrogen_mean
1.00204E+14,1.393089904,0.921230059,0.833072994,0.535959889,288.866208,713.8028433,Medium,22.36258333,29.35786344,4.818140663,916.9404149,78.55833333,34.29283465,2005,0,0.42,0,2.631341689,0,3.705312032,0,14.04,0,9.943650749,0,0.341098838,0,8.6,0,1.702440702,0,71.22507123,0,11.4675,0,-0.476305246,0,0.584183604,NA,0.593613739,NA,NA,0,0,1,2_26_131_29074,5.52599E+13,3.4,1,-89.233422,46.511628,45,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,57,139.3333333,411.6666667,342.6666667
1.00204E+14,1.921461405,1.16408927,1.322687383,0.679388647,445.335404,1100.44605,High,22.84627027,51.02319958,9.64396959,1182.97987,107.3157895,79.23056004,2007,0.239270619,0.504047479,0.7055894,3.478575618,0.684854484,3.555471861,0.490366669,22.67112949,0.061418878,7.710302688,0.271249454,0.255458692,0.077818484,20.16829379,0.275001674,1.71706093,0.125536716,45.63778911,0.371860415,6.961401027,0.093139158,1.810811988,0.709006114,0.433558388,NA,0.593613739,NA,NA,1.256050071,1.815430562,1,4_51_17_42,4.39316E+13,9.8,1,-79.85621,38.148264,95,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Ridge and Valley,46.66666667,130,305.3333333,432
1.00205E+14,1.60948894,1.384347981,1.284739494,1.04847599,216.649656,535.3521325,Low,19.82611111,18.60574658,13.37673892,1046.475347,166.8333333,19.38755293,2007,0,0.46,0,2.44,0,2.96,0,31.28715236,0,8.129020417,0,0.233219305,0,28.45478625,0,2.065,0,31.96200116,0,17.14229474,0,3.089666693,0,-0.159929977,NA,0.593613739,NA,NA,0,0,1,2_51_19_6,4.36217E+13,5.7,1,-79.631603,37.267651,30,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,55,144.6666667,292.6666667,175.6666667
1.00209E+14,2.024964297,0.861854323,1.580525471,0.691376979,469.407588,1159.92962,High,22.16964103,52.97692429,13.85960427,1053.505466,137.7947368,89.93174518,2007,0,0.44,0,4.14,0,2,0,24.81768882,0,5.609099447,0,0.288374192,0,26.4,0,1.935232641,0,40.29384071,0,22.45122295,0,2.33749445,0,-1.766910288,NA,0.593613739,NA,NA,0,0,1,2_51_29_17,4.37363E+13,8.2,1,-78.716286,37.48526,43,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,48,136,248.3333333,213.6666667
1.00209E+14,1.62806536,0.910320527,0.97719974,0.267013294,1143.42874,2825.469588,High,21.22637895,107.7594314,6.217922928,884.7268956,115.0222222,83.90573071,2005,7.57E-16,0.37,1.745689777,2.369457129,0.448094944,1.374236032,0.726970788,10.28441126,1.958217153,40.42647948,0.837015533,0.373887297,1.326842335,21.45942675,0.389215151,1.59155649,1.428021394,148.2321572,1.435492582,23.99451121,1.399993452,-0.992970572,0.972408993,-1.455724831,NA,0.593613739,NA,NA,3.784679761,14.78978861,1,3_26_141_20170,5.53414E+13,5.1,1,-83.939626,45.379847,70,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,54.33333333,135.6666667,143.6666667,352.6666667
1.00212E+14,1.70979225,1.098348499,1.296032286,0.610660199,385.154944,951.7371244,High,19.8516875,33.65021049,11.64701755,968.8931911,129.8588235,40.52364891,2007,0.309588708,0.497528758,0.284029408,2.790268413,0.185799998,3.20393693,0.284836554,28.49304099,0.054081682,6.552861992,0.333719715,0.267717546,0.660300716,23.68453047,0.120096906,1.983833202,0.037454548,35.29180693,0.14422595,14.94119181,0.230033787,2.464622543,0.16283681,0.131228092,NA,0.593613739,NA,NA,0.937597633,0.938175849,1,5_51_35_46,4.37404E+13,7.5,1,-80.766238,36.856747,17,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Blue Ridge,51,134.3333333,314,284
1.00216E+14,1.660288953,0.92486885,0.993704421,0.46195567,228.685748,565.0939176,Low,22.80652632,24.80193536,6.805318621,931.5814409,148.7222222,35.38278161,2005,0,0.47,0,3,0,2.63,0,16.24731183,0,5.609099447,0,0.288374192,0,20.82822577,0,1.935232641,0,61.54864327,0,13.6232288,0,1.347764907,0,-0.162555476,NA,0.593613739,NA,NA,0,0,1,3_26_55_20046,5.46945E+13,3.1,1,-85.447693,44.66866,89,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,54,134.6666667,130.3333333,325
1.00217E+14,1.819902699,1.066786865,1.3182153,0.860514849,300.9023,743.5446284,Medium,23.63216,37.91528014,4.715851495,927.4658724,91.03611111,59.66590724,2005,0.113993109,0.336107953,0.465016235,3.236519946,0.099988359,2.821974446,0.509081643,26.30263864,0.036141194,6.705903781,0.016522704,0.314656288,0.109191341,21.14867925,0.716849793,2.585852619,0.140188767,40.5843207,0.412404089,15.54594439,0.235372051,1.957741613,0.141450243,-1.166999411,NA,0.593613739,NA,NA,1.102498028,2.348670763,1,2_26_61_20201,5.47057E+13,3.3,1,-88.827279,46.996046,70,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,48,127.3333333,80.33333333,366.3333333
1.00218E+14,1.814545841,0.835867287,1.474275443,0.35207396,373.118852,921.9953392,Medium,28.45619355,67.53687532,5.093240667,920.1038347,99.08333333,118.7584986,2005,2.22E-16,0.33,0.222667985,4.011920251,0.283160656,2.173400276,0.081394658,26.9924165,0,7.171479354,0,0.31390131,0.282003452,24.67224678,0.604243847,2.023810909,0.011833802,37.07503147,0.462143946,26.1694362,0.061577399,1.922416501,0.300863087,-2.301270995,NA,0.593613739,NA,NA,0.891481754,1.255761092,1,2_26_61_20103,5.47089E+13,3.9,1,-88.738444,46.836586,69,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,50,132,109,299.6666667
1.0022E+14,1.591844747,0.761115473,1.021987992,0.551602768,361.08276,892.2535541,Medium,19.29553333,28.64744549,7.01556469,817.387727,134.1361111,36.32959147,2005,0,0.42,0,2.631341689,0,3.705312032,0,14.04,0,9.943650749,0,0.341098838,0,8.6,0,1.702440702,0,71.22507123,0,11.4675,0,-0.476305246,0,0.584183604,NA,0.593613739,NA,NA,0,0,1,3_26_69_20058,5.47348E+13,4.5,1,-83.848683,44.366912,51,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,64.66666667,144,235.3333333,497
